TimeStamp,InsideTemp,InsideLux,OutsideTemp,OutsideLux,Servo
250520/070402,42.2,5219.17,50.7,54612.5,0
250520/070602,42.6,5250.0,52.0,54612.5,0
250520/070802,43.0,5228.33,52.5,54612.5,0
250520/074402,37.1,5067.5,45.6,52023.33,0
250520/074602,38.1,5025.83,47.5,52448.33,0
250520/074802,38.9,5166.67,47.6,54588.33,0
250520/075002,39.5,5216.67,49.2,54612.5,0
250520/075202,40.0,5257.5,49.0,54612.5,0
250520/075402,40.7,5088.33,50.7,54612.5,0
250520/075602,41.0,5156.67,50.7,54612.5,0
250520/075802,41.5,5227.5,50.0,54612.5,0
250520/080002,41.8,5205.0,50.7,54612.5,0
250520/080202,42.2,5219.17,50.7,54612.5,0
250520/080402,42.6,5250.0,52.0,54612.5,0
250520/080602,43.0,5228.33,52.5,54612.5,0
250520/155802,36.5,5019.17,43.7,50988.33,0
270520/165202,29.2,204.17,27.7,1726.67,0
250520/072202,43.6,5721.67,50.1,54612.5,30
250520/072402,43.5,5666.67,50.6,54612.5,30
250520/072602,43.4,5675.83,49.3,54612.5,30
250520/072802,43.3,5582.5,49.0,54612.5,30
250520/073202,43.4,5390.83,49.3,54612.5,30
250520/073402,43.4,5282.5,49.2,54612.5,30
250520/073602,43.4,5137.5,49.5,54612.5,30
250520/073802,43.2,4895.0,49.3,54612.5,30
250520/074202,43.0,4773.33,48.8,54612.5,30
250520/074402,43.0,4733.33,48.7,54612.5,30
250520/074602,43.4,4494.17,48.3,54612.5,30
250520/074802,43.6,4277.5,49.0,54612.5,30
250520/075002,43.8,3955.0,46.1,54612.5,30
250520/075202,43.5,3686.67,44.7,54612.5,30
250520/075402,43.5,3495.0,44.3,54612.5,30
250520/075602,43.3,3290.0,42.2,54612.5,30
250520/075802,43.2,3139.17,41.1,45469.16,30
250520/080002,42.7,2987.5,39.9,18853.33,30
250520/080202,42.5,2833.33,39.0,3100.0,30
250520/080402,41.9,2649.17,38.3,2822.5,30
250520/080602,41.6,2469.17,37.8,2779.17,30
250520/080802,41.2,2290.83,37.3,2717.5,30
250520/080802,43.1,5466.67,49.5,54612.5,30
250520/081002,43.3,5460.0,49.8,54612.5,30
250520/081202,43.6,5415.0,50.1,54612.5,30
250520/081402,43.8,5384.17,50.1,54612.5,30
250520/081602,44.5,5383.33,51.3,54612.5,30
250520/081802,43.8,5748.33,49.6,54612.5,30
250520/082002,43.6,5721.67,50.1,54612.5,30
250520/082202,43.5,5666.67,50.6,54612.5,30
250520/082402,43.4,5675.83,49.3,54612.5,30
250520/082602,43.3,5582.5,49.0,54612.5,30
250520/082802,43.4,5496.67,49.1,54612.5,30
250520/083002,43.4,5390.83,49.3,54612.5,30
250520/083202,43.4,5282.5,49.2,54612.5,30
250520/083402,43.4,5137.5,49.5,54612.5,30
250520/083602,43.2,4895.0,49.3,54612.5,30
250520/083802,43.0,4773.33,48.8,54612.5,30
250520/084202,43.0,4733.33,48.7,54612.5,30
250520/084402,43.4,4494.17,48.3,54612.5,30
250520/084602,43.6,4277.5,49.0,54612.5,30
250520/084802,43.8,3955.0,46.1,54612.5,30
250520/085002,43.5,3686.67,44.7,54612.5,30
250520/085202,43.5,3495.0,44.3,54612.5,30
250520/085402,43.3,3290.0,42.2,54612.5,30
250520/085602,43.2,3139.17,41.1,45469.16,30
250520/085802,42.7,2987.5,39.9,18853.33,30
250520/090002,42.5,2833.33,39.0,3100.0,30
250520/090202,41.9,2649.17,38.3,2822.5,30
250520/090402,41.6,2469.17,37.8,2779.17,30
250520/090602,41.2,2290.83,37.3,2717.5,30
250520/155602,34.2,5064.17,39.9,49008.33,30
170520/100300,38.0,1734.17,38.0,20646.67,45
170520/100700,38.0,2590.0,35.0,18275.0,45
170520/094900,40.0,3027.5,39.0,54612.5,60
250520/081002,40.6,2473.33,36.9,2630.0,60
250520/081202,40.4,2254.17,36.6,2560.0,60
250520/090802,40.6,2473.33,36.9,2630.0,60
250520/091002,40.4,2254.17,36.6,2560.0,60
170520/095500,39.0,2155.83,38.0,6746.67,90
230520/151802,34.0,246.67,34.0,662.5,90
250520/081402,39.9,2192.5,36.4,2575.0,90
250520/081602,39.4,1730.83,36.0,2584.17,90
250520/093402,37.7,860.83,35.2,2474.17,90
250520/110002,33.3,357.5,33.0,2208.33,90
250520/110202,33.5,382.5,33.0,2239.17,90
270520/103202,33.6,350.83,33.0,1970.0,90
270520/103402,33.6,359.17,33.0,1983.33,90
270520/103602,33.7,388.33,33.0,2109.17,90
270520/165402,29.2,310.0,27.9,1810.83,90
270520/165602,29.3,331.67,28.0,1903.33,90
270520/165802,29.4,349.17,28.0,2022.5,90
270520/170002,29.4,350.83,28.2,2031.67,90
280520/070402,29.5,320.83,28.3,1750.83,90
280520/070602,29.5,981.67,28.4,6800.0,90
280520/070802,29.6,431.67,28.5,3871.67,90
280520/074602,29.5,642.5,29.6,7274.17,90
280520/074802,29.9,660.83,29.5,7600.0,90
280520/081802,29.6,636.67,29.5,7703.33,90
280520/082002,29.6,545.0,29.5,6642.5,90
280520/082202,29.6,553.33,29.3,6605.83,90
280520/082402,29.6,565.83,29.3,7118.33,90
230520/151602,34.0,55.83,34.0,654.17,120
230520/152002,34.0,246.67,34.0,744.17,120
230520/152202,34.0,246.67,34.0,899.17,120
250520/095002,36.3,275.0,36.5,2429.17,120
250520/095002,36.6,707.5,35.4,2478.33,120
250520/095202,36.3,245.83,36.5,2196.67,120
250520/095202,36.7,679.17,35.7,2522.5,120
250520/095402,36.3,230.83,36.5,2064.17,120
250520/095402,37.0,655.0,35.5,2552.5,120
250520/095602,37.2,223.33,36.5,2021.67,120
250520/095602,36.5,634.17,35.5,2557.5,120
250520/095802,36.5,217.5,36.4,2009.17,120
250520/095802,36.8,609.17,35.7,2590.83,120
250520/100002,36.3,207.5,36.4,1995.83,120
250520/100002,36.6,590.0,35.7,2645.83,120
250520/100202,36.5,205.0,36.4,1990.83,120
250520/100202,36.5,576.67,35.8,2690.83,120
250520/100402,36.5,210.0,36.1,2018.33,120
250520/100402,36.5,556.67,35.8,2660.83,120
250520/100602,35.3,202.5,36.3,2010.0,120
250520/100602,36.5,535.83,36.0,2640.83,120
250520/100802,36.3,193.33,36.2,1900.0,120
250520/100802,36.4,511.67,36.0,2608.33,120
250520/101002,36.3,188.33,36.3,1851.67,120
250520/101002,36.4,498.33,36.1,2691.67,120
250520/101202,36.3,185.0,36.4,1869.17,120
